,,$K = \lfloor 0.1N \rfloor$,$K = \lfloor 0.1N \rfloor$,$K = \lfloor 0.1N \rfloor$,$K = \lfloor0.3N\rfloor$,$K = \lfloor0.3N\rfloor$,$K = \lfloor0.3N\rfloor$,$K = \lfloor0.5N \rfloor$,$K = \lfloor0.5N \rfloor$,$K = \lfloor0.5N \rfloor$,$K = \lfloor0.7N \rfloor$,$K = \lfloor0.7N \rfloor$,$K = \lfloor0.7N \rfloor$,$K = \lfloor0.9N \rfloor$,$K = \lfloor0.9N \rfloor$,$K = \lfloor0.9N \rfloor$
,,$\mu$,$\sigma$,S.R,$\mu$,$\sigma$,S.R,$\mu$,$\sigma$,S.R,$\mu$,$\sigma$,S.R,$\mu$,$\sigma$,S.R
$C_0 = 0.75/6$,Card MVO,12.3%,12.4%,0.996,12.7%,12.5%,1.01,12.5%,12.6%,0.998,12.7%,12.5%,1.01,12.5%,12.4%,1.01
$C_0 = 0.75/6$,MVO,11.9%,12.4%,0.966,11.9%,12.4%,0.966,11.9%,12.4%,0.966,11.9%,12.4%,0.966,11.9%,12.4%,0.966
$C_0 = 0.75/6$,Exact Solve - Vol,12.0%,13.1%,0.914,13.9%,14.7%,0.944,13.6%,15.5%,0.876,14.3%,15.2%,0.939,13.7%,13.6%,1.01
$C_0 = 0.75/6$,PADM - Fundamentals,11.7%,13.4%,0.879,12.6%,12.8%,0.986,13.2%,12.5%,1.06,13.2%,12.2%,1.08,12.2%,12.8%,0.951
$C_0 = 1.00/6$,Card MVO,12.3%,12.8%,0.961,11.6%,12.4%,0.929,11.6%,12.7%,0.915,11.7%,12.9%,0.9,11.6%,12.4%,0.929
$C_0 = 1.00/6$,MVO,11.2%,12.2%,0.916,11.2%,12.2%,0.916,11.2%,12.2%,0.916,11.2%,12.2%,0.916,11.2%,12.2%,0.916
$C_0 = 1.00/6$,Exact Solve - Vol,11.5%,13.3%,0.862,12.5%,13.4%,0.933,13.5%,15.3%,0.886,13.4%,14.5%,0.922,13.3%,13.8%,0.965
$C_0 = 1.00/6$,PADM - Fundamentals,11.9%,13.0%,0.915,11.7%,12.2%,0.96,11.1%,12.6%,0.877,11.5%,12.6%,0.919,11.3%,12.2%,0.922
$C_0 = 1.25/6$,Card MVO,10.9%,12.0%,0.914,10.7%,12.1%,0.888,11.3%,12.4%,0.918,10.5%,12.2%,0.862,10.6%,12.3%,0.855
$C_0 = 1.25/6$,MVO,10.9%,12.1%,0.905,10.9%,12.1%,0.905,10.9%,12.1%,0.905,10.9%,12.1%,0.905,10.9%,12.1%,0.905
$C_0 = 1.25/6$,Exact Solve - Vol,12.5%,12.7%,0.978,11.2%,14.7%,0.763,13.2%,15.9%,0.828,13.3%,14.8%,0.9,12.4%,13.1%,0.945
$C_0 = 1.25/6$,PADM - Fundamentals,11.0%,11.9%,0.919,12.1%,12.1%,1.01,11.1%,12.2%,0.914,11.0%,12.1%,0.909,11.1%,12.0%,0.925
