,0
0,AAPL
1,ABC
2,ABMD
3,ABT
4,ADBE
5,ADI
6,ADM
7,ADP
8,ADSK
9,AEE
10,AEP
11,AES
12,AFL
13,AIG
14,AIV
15,AJG
16,ALB
17,ALK
18,ALL
19,AMAT
20,AMD
21,AME
22,AMGN
23,AMT
24,AMZN
25,ANSS
26,AON
27,AOS
28,APA
29,APD
30,APH
31,ARE
32,ATO
33,ATVI
34,AVB
35,AVY
36,AXP
37,AZO
38,BA
39,BAC
40,BAX
41,BBY
42,BDX
43,BEN
44,BF-B
45,BIIB
46,BK
47,BKNG
48,BKR
49,BMY
50,BRK-B
51,BSX
52,BWA
53,BXP
54,C
55,CAG
56,CAH
57,CAT
58,CB
59,CCI
60,CCL
61,CDNS
62,CHD
63,CHRW
64,CI
65,CINF
66,CL
67,CLX
68,CMA
69,CMCSA
70,CMI
71,CMS
72,CNP
73,COF
74,COO
75,COP
76,COST
77,CPB
78,CPRT
79,CSCO
80,CSX
81,CTAS
82,CTSH
83,CTXS
84,CVS
85,CVX
86,D
87,DD
88,DE
89,DGX
90,DHI
91,DHR
92,DIS
93,DISH
94,DLTR
95,DOV
96,DRE
97,DRI
98,DTE
99,DUK
100,DVA
101,DVN
102,DXC
103,EA
104,EBAY
105,ECL
106,ED
107,EFX
108,EIX
109,EL
110,EMN
111,EMR
112,EOG
113,EQR
114,ES
115,ESS
116,ETN
117,ETR
118,EVRG
119,EXC
120,EXPD
121,F
122,FAST
123,FCX
124,FDX
125,FE
126,FFIV
127,FISV
128,FITB
129,FLS
130,FMC
131,FRT
132,GD
133,GE
134,GILD
135,GIS
136,GL
137,GLW
138,GPC
139,GPS
140,GS
141,GWW
142,HAL
143,HAS
144,HBAN
145,HD
146,HES
147,HIG
148,HOG
149,HOLX
150,HON
151,HP
152,HPQ
153,HRB
154,HRL
155,HSIC
156,HST
157,HSY
158,HUM
159,IBM
160,IDXX
161,IEX
162,IFF
163,INCY
164,INTC
165,INTU
166,IP
167,IPG
168,IRM
169,IT
170,ITW
171,IVZ
172,J
173,JBHT
174,JCI
175,JKHY
176,JNJ
177,JNPR
178,JPM
179,JWN
180,K
181,KEY
182,KIM
183,KLAC
184,KMB
185,KMX
186,KO
187,KR
188,KSS
189,L
190,LEG
191,LEN
192,LH
193,LHX
194,LIN
195,LLY
196,LMT
197,LNC
198,LNT
199,LOW
200,LRCX
201,LUV
202,M
203,MAA
204,MAR
205,MAS
206,MCD
207,MCHP
208,MCK
209,MCO
210,MDT
211,MGM
212,MHK
213,MKC
214,MLM
215,MMC
216,MMM
217,MNST
218,MO
219,MOS
220,MRK
221,MRO
222,MS
223,MSFT
224,MSI
225,MTB
226,MTD
227,MU
228,NEE
229,NEM
230,NI
231,NKE
232,NLOK
233,NOC
234,NOV
235,NSC
236,NTAP
237,NTRS
238,NUE
239,NVDA
240,NVR
241,NWL
242,O
243,ODFL
244,OKE
245,OMC
246,ORCL
247,ORLY
248,OXY
249,PAYX
250,PCAR
251,PEAK
252,PEG
253,PEP
254,PFE
255,PG
256,PGR
257,PH
258,PHM
259,PKI
260,PLD
261,PNC
262,PNR
263,PNW
264,PPG
265,PPL
266,PRGO
267,PSA
268,PVH
269,PWR
270,PXD
271,QCOM
272,RCL
273,RE
274,REG
275,REGN
276,RF
277,RHI
278,RJF
279,RL
280,RMD
281,ROK
282,ROL
283,ROP
284,ROST
285,RSG
286,RTX
287,SBAC
288,SBUX
289,SCHW
290,SEE
291,SHW
292,SIVB
293,SJM
294,SLB
295,SLG
296,SNA
297,SNPS
298,SO
299,SPG
300,SPGI
301,SRE
302,STE
303,STT
304,STZ
305,SWK
306,SWKS
307,SYK
308,SYY
309,T
310,TAP
311,TFC
312,TFX
313,TGT
314,TJX
315,TMO
316,TROW
317,TRV
318,TSCO
319,TSN
320,TT
321,TTWO
322,TXN
323,TXT
324,UDR
325,UHS
326,UNH
327,UNM
328,UNP
329,URI
330,USB
331,VFC
332,VLO
333,VMC
334,VNO
335,VRSN
336,VRTX
337,VTR
338,VZ
339,WAB
340,WAT
341,WBA
342,WDC
343,WEC
344,WELL
345,WFC
346,WHR
347,WM
348,WMB
349,WMT
350,WRB
351,WY
352,XEL
353,XOM
354,XRAY
355,XRX
356,YUM
357,ZBRA
358,ZION
