,,$K = \lfloor 0.1N \rfloor$,$K = \lfloor 0.1N \rfloor$,$K = \lfloor 0.1N \rfloor$,$K = \lfloor0.3N\rfloor$,$K = \lfloor0.3N\rfloor$,$K = \lfloor0.3N\rfloor$,$K = \lfloor0.5N \rfloor$,$K = \lfloor0.5N \rfloor$,$K = \lfloor0.5N \rfloor$,$K = \lfloor0.7N \rfloor$,$K = \lfloor0.7N \rfloor$,$K = \lfloor0.7N \rfloor$,$K = \lfloor0.9N \rfloor$,$K = \lfloor0.9N \rfloor$,$K = \lfloor0.9N \rfloor$
,,$\mu$,$\sigma$,S.R,$\mu$,$\sigma$,S.R,$\mu$,$\sigma$,S.R,$\mu$,$\sigma$,S.R,$\mu$,$\sigma$,S.R
$C_0 = 0.75/6$,MVO,11.9%,11.5%,1.03,11.9%,11.5%,1.03,11.9%,11.5%,1.03,11.9%,11.5%,1.03,11.9%,11.5%,1.03
$C_0 = 0.75/6$,Card MVO,12.3%,11.3%,1.09,12.7%,10.9%,1.16,12.5%,11.2%,1.12,12.7%,10.9%,1.16,12.5%,10.6%,1.18
$C_0 = 0.75/6$,"('', '_Vol_', 'test')",11.3%,12.2%,0.928,13.7%,10.9%,1.26,13.3%,13.7%,0.975,13.9%,12.7%,1.1,13.0%,12.4%,1.05
$C_0 = 0.75/6$,"('padm', '_Vol_', 'final')",11.7%,11.8%,0.991,11.3%,13.1%,0.863,11.8%,13.1%,0.902,11.5%,12.7%,0.904,12.3%,10.8%,1.13
$C_0 = 0.75/6$,"('padm', '_Vol_', 'final_lightreg')",11.4%,11.7%,0.978,11.3%,13.1%,0.863,11.8%,13.1%,0.902,11.5%,12.7%,0.904,11.7%,11.7%,1.0
$C_0 = 0.75/6$,"('padm', '_Vol_', 'final_linearreg')",12.7%,11.6%,1.09,10.7%,11.6%,0.928,11.3%,11.6%,0.97,11.6%,11.5%,1.01,11.3%,11.0%,1.03
$C_0 = 0.75/6$,"('padm', '_Vol_', 'balanced')",11.3%,11.2%,1.01,11.1%,11.2%,0.992,11.2%,11.2%,0.996,11.4%,12.7%,0.902,11.5%,12.2%,0.944
$C_0 = 0.75/6$,"('padm', '_Vol_', 'balanced2')",11.1%,10.7%,1.04,11.7%,11.5%,1.02,11.8%,11.0%,1.07,11.4%,11.6%,0.989,11.8%,12.2%,0.965
$C_0 = 0.75/6$,"('padm', '_Vol_', 'balanced3')",11.9%,11.4%,1.04,12.3%,11.4%,1.08,12.1%,10.5%,1.15,11.3%,10.5%,1.07,11.8%,11.3%,1.04
$C_0 = 0.75/6$,"('padm', '_Vol_', 'balanced4')",12.3%,10.3%,1.19,11.3%,13.1%,0.863,11.8%,13.1%,0.902,11.5%,12.7%,0.905,12.3%,10.8%,1.13
